,station_name,latitude,longitude,station_start_year,rollout_cluster
0,Pitt St & Stanton St,40.71926081,-73.98178024,2013-01-01T00:00:00,2013
1,W Houston St & Hudson St,40.72873888,-74.00748842,2013-01-01T00:00:00,2013
2,Grand Army Plaza & Central Park S,40.764,-73.974,2013-01-01T00:00:00,2013
3,W 20 St & 7 Ave,40.74238787,-73.998,2013-01-01T00:00:00,2013
4,E 7 St & Avenue A,40.725,-73.98379855,2013-01-01T00:00:00,2013
5,Bus Slip & State St,40.701907,-74.013942,2013-01-01T00:00:00,2013
6,E 20 St & FDR Drive,40.73314259,-73.977,2013-01-01T00:00:00,2013
7,E 4 St & 2 Ave,40.7262807,-73.98978041,2013-01-01T00:00:00,2013
8,Washington Ave & Greene Ave,40.68650065,-73.96563307,2013-01-01T00:00:00,2013
9,1 Ave & E 18 St,40.73381219,-73.98054421,2013-01-01T00:00:00,2013
10,W 49 St & 8 Ave,40.761,-73.989,2013-01-01T00:00:00,2013
11,W 16 St & The High Line,40.74334935,-74.00681753,2013-01-01T00:00:00,2013
12,1 Ave & E 44 St,40.75001986,-73.96905301,2013-01-01T00:00:00,2013
13,Broadway & W 36 St,40.75097711,-73.989,2013-01-01T00:00:00,2013
14,1 Ave & E 16 St,40.731,-73.983,2013-01-01T00:00:00,2013
15,West St & Chambers St,40.71754834,-74.01322069,2013-01-01T00:00:00,2013
16,Norfolk St & Broome St,40.716,-73.989,2013-01-01T00:00:00,2013
17,Hanover Pl & Livingston St,40.68864636,-73.98263429,2013-01-01T00:00:00,2013
18,Lafayette Ave & Fort Greene Pl,40.686,-73.977,2013-01-01T00:00:00,2013
19,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2013-01-01T00:00:00,2013
20,E 2 St & Avenue B,40.722,-73.98368779,2013-01-01T00:00:00,2013
21,E 59 St & Sutton Pl,40.75849116,-73.95920622,2013-01-01T00:00:00,2013
22,W 39 St & 9 Ave,40.75645824,-73.99372222,2013-01-01T00:00:00,2013
23,E 33 St & 2 Ave,40.744023,-73.976056,2013-01-01T00:00:00,2013
24,E 2 St & Avenue C,40.7208736,-73.98085795,2013-01-01T00:00:00,2013
25,NYCBS Depot - SSP,40.646768,-74.01651,2013-01-01T00:00:00,2013
26,Mercer St & Bleecker St,40.72679454,-73.99695094,2013-01-01T00:00:00,2013
27,Hicks St & Montague St,40.69512845,-73.99595065,2013-01-01T00:00:00,2013
28,Clinton St & Joralemon St,40.692,-73.99337909,2013-01-01T00:00:00,2013
29,Little West St & 1 Pl,40.70569254,-74.01677685,2013-01-01T00:00:00,2013
30,Lexington Ave & E 26 St,40.74,-73.983293,2013-01-01T00:00:00,2013
31,E 13 St & Avenue A,40.72955361,-73.98067966103555,2013-01-01T00:00:00,2013
32,Clinton Ave & Flushing Ave,40.69794,-73.971,2013-01-01T00:00:00,2013
