,day_of_week,hour_of_day,num_rides
3,6,14,89117
4,6,7,75458
7,2,17,163640
9,4,11,59217
11,1,11,82908
12,4,9,116116
18,6,12,76302
20,4,12,68769
22,4,22,37529
24,2,7,78371
40,4,21,51304
44,1,10,64226
61,6,10,63658
93,2,8,135414
127,1,15,103405
323,2,10,56200
326,4,10,63953
327,1,18,84450
328,7,21,34067
329,1,0,18738
330,5,1,6051
331,5,15,80364
333,5,11,60372
334,1,12,95177
335,1,19,67486
336,3,0,10017
337,7,13,100736
340,6,17,149561
341,6,20,55598
342,1,7,11054
344,6,1,7583
345,3,10,59127
346,2,9,99572
348,6,22,32244
349,2,13,68122
350,5,22,37293
351,5,9,115525
352,4,16,97820
353,3,23,21280
354,2,18,163981
357,5,6,42590
358,6,5,8643
359,5,20,67807
360,3,2,2338
368,7,5,2725
373,3,4,2047
374,6,2,4033
375,5,2,3212
378,7,6,6536
382,4,3,1689
384,4,5,10441
490,4,15,78489
506,7,9,51299
507,4,17,161820
509,5,17,153101
511,6,18,125610
520,7,10,70577
527,4,7,90978
529,3,8,150752
530,6,16,117922
531,3,19,106755
538,2,19,108393
547,2,11,55118
564,6,9,107512
585,6,21,39426
810,6,11,63471
811,3,6,42859
813,5,19,103217
814,7,16,96067
815,7,19,63975
816,1,8,23577
817,1,17,94591
818,4,23,23806
819,5,21,47682
820,7,14,98684
821,4,20,72390
823,5,10,64639
824,2,14,71345
826,4,0,11191
827,7,2,8084
828,1,6,4839
830,1,5,2412
831,3,22,35668
832,1,22,26299
833,1,23,17301
834,6,13,81554
837,6,6,35384
838,2,3,1489
839,1,1,13600
840,1,2,8519
843,4,6,44096
845,3,5,10421
846,5,7,87838
848,7,0,18618
858,2,6,37600
863,6,4,2277
865,3,3,1341
878,6,3,2318
992,4,18,165900
993,3,7,87924
994,5,12,70530
997,2,15,76653
998,3,20,71268
1001,4,13,71876
1006,5,8,155430
1010,3,17,159162
1018,5,13,72636
1025,3,18,158118
1028,3,16,96233
1050,2,16,97365
1057,2,21,46892
1061,3,12,63518
1080,3,11,54642
1327,7,18,77838
1328,2,12,64806
1329,5,18,150815
1330,5,16,98111
1331,7,12,97891
1332,7,15,100030
1333,7,20,44335
1334,7,22,30026
1335,7,11,88105
1336,7,17,88323
1337,1,20,48059
1338,3,21,49264
1339,1,13,101251
1340,5,14,74967
1341,1,14,103143
1342,1,16,102644
1343,4,8,162314
1344,4,19,112164
1345,2,20,70037
1346,3,14,67892
1347,5,23,25659
1348,6,23,26092
1349,6,15,96568
1350,2,2,2457
1351,5,5,10149
1352,7,23,24872
1353,1,9,43415
1354,6,19,86174
1355,3,13,65818
1356,7,8,30560
1357,1,21,35335
1358,3,9,107900
1359,4,14,75072
1360,6,8,138410
1361,3,15,73091
1362,6,0,14494
1365,2,4,2095
1366,2,22,32146
1367,2,1,4572
1373,2,23,19121
1374,2,0,9460
1375,7,3,5123
1379,4,1,5223
1381,2,5,9137
1383,7,7,15299
1384,3,1,4682
1385,7,4,3320
1387,5,0,12539
1391,7,1,11953
1393,1,4,3574
1395,4,2,2628
1397,1,3,5591
1402,5,3,1858
1403,5,4,2329
1421,4,4,2321
